date,sentiment,num_articles
1999-11-01,,0
1999-11-02,,0
1999-11-03,,0
1999-11-04,,0
1999-11-05,,0
1999-11-06,,0
1999-11-07,,0
1999-11-08,,0
1999-11-09,,0
1999-11-10,,0
1999-11-11,,0
1999-11-12,,0
1999-11-13,,0
1999-11-14,,0
1999-11-15,,0
1999-11-16,,0
1999-11-17,,0
1999-11-18,,0
1999-11-19,,0
1999-11-20,,0
1999-11-21,,0
1999-11-22,,0
1999-11-23,,0
1999-11-24,,0
1999-11-25,,0
1999-11-26,,0
1999-11-27,,0
1999-11-28,,0
1999-11-29,,0
1999-11-30,,0
2022-11-25,,0
2022-11-26,,0
2022-11-27,,0
2022-11-28,0.32156,1
2022-11-29,0.196502,1
2022-11-30,0.055663,2
2022-12-01,0.299602,2
2022-12-02,,0
2022-12-03,0.108158,1
2022-12-04,,0
2022-12-05,0.242967,1
2022-12-06,,0
2022-12-07,,0
2022-12-08,0.218256,1
2022-12-09,0.159606,1
2022-12-10,,0
2022-12-11,,0
2022-12-12,0.253471,1
2022-12-13,,0
2022-12-14,,0
2022-12-15,,0
2022-12-16,,0
2022-12-17,,0
2022-12-18,,0
2022-12-19,,0
2022-12-20,,0
2022-12-21,,0
2022-12-22,0.151313,1
2022-12-23,,0
2022-12-24,,0
2022-12-25,,0
2022-12-26,,0
2022-12-27,,0
2022-12-28,,0
2022-12-29,,0
2022-12-30,,0
2022-12-31,,0
2023-01-01,,0
2023-01-02,,0
2023-01-03,,0
2023-01-04,,0
2023-01-05,0.292287,1
2023-01-06,,0
2023-01-07,,0
2023-01-08,,0
2023-01-09,0.35257,2
2023-01-10,,0
2023-01-11,,0
2023-01-12,,0
2023-01-13,,0
2023-01-14,,0
2023-01-15,,0
2023-01-16,,0
2023-01-17,,0
2023-01-18,0.288749,1
2023-01-19,,0
2023-01-20,0.238608,1
2023-01-21,,0
2023-01-22,,0
2023-01-23,,0
2023-01-24,0.203303,2
2023-01-25,0.117289,1
2023-01-26,0.172337,1
2023-01-27,0.241813,1
2023-01-28,,0
2023-01-29,,0
2023-01-30,0.2298193333333333,3
2023-01-31,0.250193,2
2023-02-01,0.2063925,2
2023-02-02,0.194126,4
2023-02-03,,0
2023-02-04,,0
2023-02-05,,0
2023-02-06,,0
2023-02-07,,0
2023-02-08,,0
2023-02-09,,0
2023-02-10,,0
2023-02-11,,0
2023-02-12,,0
2023-02-13,0.177775,1
2023-02-14,,0
2023-02-15,,0
2023-02-16,,0
2023-02-17,0.314523,1
2023-02-18,,0
2023-02-19,,0
2023-02-20,0.302433,1
2023-02-21,0.2532405,2
2023-02-22,,0
2023-02-23,,0
2023-02-24,,0
2023-02-25,,0
2023-02-26,,0
2023-02-27,,0
2023-02-28,,0
2023-03-01,0.206953,1
2023-03-02,0.262251,3
2023-03-03,0.2869465,2
2023-03-04,,0
2023-03-05,,0
2023-03-06,0.375997,1
2023-03-07,0.306566,1
2023-03-08,0.155605,1
2023-03-09,0.3401335,4
2023-03-10,0.0997124999999999,2
2023-03-11,,0
2023-03-12,,0
2023-03-13,,0
2023-03-14,,0
2023-03-15,,0
2023-03-16,,0
2023-03-17,0.249983,1
2023-03-18,,0
2023-03-19,,0
2023-03-20,0.197147,1
2023-03-21,0.239269,2
2023-03-22,,0
2023-03-23,,0
2023-03-24,,0
2023-03-25,,0
2023-03-26,,0
2023-03-27,0.180909,1
2023-03-28,,0
2023-03-29,,0
2023-03-30,,0
2023-03-31,,0
2023-04-01,,0
2023-04-02,,0
2023-04-03,,0
2023-04-04,,0
2023-04-05,,0
2023-04-06,0.366852,1
2023-04-07,,0
2023-04-08,,0
2023-04-09,,0
2023-04-10,,0
2023-04-11,,0
2023-04-12,,0
2023-04-13,,0
2023-04-14,0.111623,1
2023-04-15,,0
2023-04-16,,0
2023-04-17,,0
