date,sentiment,num_articles
2022-02-02,,0
2022-02-03,,0
2022-02-04,,0
2022-02-05,,0
2022-02-06,,0
2022-02-07,,0
2022-02-08,,0
2022-02-09,,0
2022-02-10,,0
2022-02-11,,0
2022-02-12,,0
2022-02-13,,0
2022-02-14,,0
2022-02-15,,0
2022-02-16,,0
2022-02-17,,0
2022-02-18,,0
2022-02-19,,0
2022-02-20,,0
2022-02-21,,0
2022-02-22,,0
2022-02-23,,0
2022-02-24,,0
2022-02-25,,0
2022-02-26,,0
2022-02-27,,0
2022-02-28,,0
2022-03-01,,0
2022-03-02,,0
2022-03-03,,0
2022-03-04,,0
2022-03-05,,0
2022-03-06,,0
2022-03-07,,0
2022-03-08,,0
2022-03-09,,0
2022-03-10,,0
2022-03-11,,0
2022-03-12,,0
2022-03-13,,0
2022-03-14,0.018855,1
2022-03-15,,0
2022-03-16,,0
2022-03-17,,0
2022-03-18,,0
2022-03-19,,0
2022-03-20,-0.254148,1
2022-03-21,,0
2022-03-22,-0.155275,1
2022-03-23,,0
2022-03-24,,0
2022-03-25,,0
2022-03-26,0.057439,1
2022-03-27,,0
2022-03-28,-0.043561,1
2022-03-29,,0
2022-03-30,,0
2022-03-31,,0
2022-04-01,,0
2022-04-02,,0
2022-04-03,,0
2022-04-04,-0.042807,1
2022-04-05,-0.04564,1
2022-04-06,,0
2022-04-07,-0.033332,1
2022-04-08,,0
2022-04-09,,0
2022-04-10,,0
2022-04-11,-0.121142,1
2022-04-12,-0.2974505,2
2022-04-13,,0
2022-04-14,,0
2022-04-15,,0
2022-04-16,,0
2022-04-17,,0
2022-04-18,,0
2022-04-19,,0
2022-04-20,,0
2022-04-21,,0
2022-04-22,,0
2022-04-23,,0
2022-04-24,,0
2022-04-25,,0
2022-04-26,,0
2022-04-27,,0
2022-04-28,,0
2022-04-29,,0
2022-04-30,,0
2022-05-01,,0
2022-05-02,-0.108529,1
2022-05-03,,0
2022-05-04,,0
2022-05-05,0.204917,1
2022-05-06,,0
2022-05-07,,0
2022-05-08,,0
2022-05-09,,0
2022-05-10,,0
2022-05-11,,0
2022-05-12,0.303142,1
2022-05-13,-0.071803,1
2022-05-14,,0
2022-05-15,,0
2022-05-16,,0
2022-05-17,,0
2022-05-18,-0.109413,1
2022-05-19,,0
2022-05-20,,0
2022-05-21,,0
2022-05-22,,0
2022-05-23,,0
2022-05-24,,0
2022-05-25,,0
2022-05-26,,0
2022-05-27,,0
2022-05-28,,0
2022-05-29,,0
2022-05-30,,0
2022-05-31,0.159182,1
2022-06-01,,0
2022-06-02,,0
2022-06-03,-0.00296,1
2022-06-04,,0
2022-06-05,,0
2022-06-06,,0
2022-06-07,,0
2022-06-08,,0
2022-06-09,,0
2022-06-10,,0
2022-06-11,-0.075993,1
2022-06-12,,0
2022-06-13,,0
2022-06-14,,0
2022-06-15,,0
2022-06-16,0.131489,4
2022-06-17,0.243919,1
2022-06-18,,0
2022-06-19,,0
