date,open,high,low,close,volume
2024-02-02,5.3,6.2,4.25,4.53,78300.0
2024-02-05,2.47,3.03,2.47,3.03,111359.0
2024-02-06,2.4,2.6599,1.84,2.1,204085.0
2024-02-07,2.08,2.14,1.7,1.75,455265.0
2024-02-08,1.45,1.49,1.1,1.16,901531.0
2024-02-09,1.07,1.14,0.9601,1.0,383683.0
2024-02-12,1.02,1.15,0.86,0.9,697737.0
2024-02-13,0.8888,0.89,0.691,0.7,799625.0
2024-02-14,0.672,0.83,0.672,0.81,696591.0
2024-02-15,0.8,0.8,0.68,0.7,588488.0
2024-02-16,0.7052,0.7299,0.67,0.68,314066.0
2024-02-20,0.7176,0.8226,0.6,0.627,1608136.0
2024-02-21,0.62,0.62,0.4799,0.5,1412520.0
2024-02-22,0.4811,0.488,0.371,0.4062,1700238.0
2024-02-23,0.435,0.4889,0.4,0.4802,1039378.0
2024-02-26,0.5481,0.6772,0.5355,0.67,1669455.0
2024-02-27,0.67,0.6892,0.551,0.6357,682678.0
2024-02-28,0.6272,0.64,0.55,0.5935,375769.0
2024-02-29,0.6089,0.61,0.5,0.5003,1561537.0
2024-03-01,0.4795,0.484,0.431,0.473,396090.0
2024-03-04,0.4713,0.53,0.45,0.53,260878.0
2024-03-05,0.5196,0.5977,0.4829,0.545,346065.0
2024-03-06,0.579,0.5849,0.513,0.541,365780.0
2024-03-07,0.6,0.9,0.6,0.739,2636679.0
2024-03-08,0.7455,0.895,0.63,0.7752,1836233.0
2024-03-11,0.84,3.08,0.836,1.75,105202889.0
2024-03-12,1.69,1.69,1.26,1.44,3353989.0
2024-03-13,1.36,1.53,1.24,1.25,1199918.0
2024-03-14,0.885,2.05,0.87,1.3,13241804.0
2024-03-15,1.47,2.4,1.395,1.74,25219952.0
2024-03-18,3.25,3.64,2.61,2.72,90613338.0
2024-03-19,2.72,2.94,2.32,2.93,3434147.0
2024-03-20,2.74,2.883,2.4201,2.7,1333650.0
2024-03-21,2.82,3.08,2.55,3.08,1850158.0
2024-03-22,2.99,3.75,2.8,3.23,3520323.0
2024-03-25,3.16,3.25,2.83,2.91,809580.0
2024-03-26,2.85,2.94,2.53,2.89,782572.0
2024-03-27,2.91,3.06,2.75,2.92,445205.0
2024-03-28,2.9,2.91,2.62,2.75,507830.0
2024-04-01,2.68,2.71,2.285,2.44,514282.0
2024-04-02,2.37,2.73,2.3,2.62,273708.0
2024-04-03,2.56,2.79,2.55,2.69,261764.0
2024-04-04,2.74,3.2,2.67,2.95,753039.0
2024-04-05,2.98,3.43,2.93,3.35,877688.0
2024-04-08,3.35,4.44,3.35,3.9,1934873.0
2024-04-09,3.89,3.92,3.11,3.18,613544.0
2024-04-10,3.15,3.5099,3.1101,3.22,433176.0
2024-04-11,3.16,3.25,2.74,3.0,461778.0
2024-04-12,3.0,3.0836,2.42,2.77,436478.0
2024-04-15,2.73,2.73,2.35,2.445,354269.0
2024-04-16,2.31,2.34,2.165,2.2,173494.0
2024-04-17,2.22,2.29,1.97,1.98,204121.0
2024-04-18,1.96,2.02,1.36,1.5,554558.0
2024-04-19,1.48,1.53,1.365,1.4,303059.0
2024-04-22,1.41,1.4899,1.32,1.37,241178.0
2024-04-23,1.35,1.61,1.32,1.52,375700.0
2024-04-24,1.49,2.025,1.47,1.98,869746.0
2024-04-25,1.96,2.45,1.771,2.44,586779.0
2024-04-26,2.44,3.25,2.3,2.3,1306373.0
2024-04-29,2.37,2.91,2.22,2.41,551601.0
2024-04-30,2.44,2.5,2.07,2.1,312723.0
2024-05-01,2.1,3.0,2.1,2.16,1678404.0
2024-05-02,2.48,2.49,2.24,2.44,417060.0
2024-05-03,2.43,2.5999,2.35,2.4,166242.0
2024-05-06,2.36,2.5169,2.36,2.38,151139.0
2024-05-07,2.38,2.6,2.32,2.32,180538.0
2024-05-08,2.35,2.5,2.33,2.42,152696.0
2024-05-09,2.44,2.455,2.29,2.32,75178.0
2024-05-10,2.32,2.46,2.17,2.23,99035.0
2024-05-13,2.3,2.43,2.23,2.4,111195.0
2024-05-14,2.3,2.43,2.2802,2.36,98202.0
2024-05-15,2.31,2.34,2.15,2.16,150130.0
2024-05-16,2.17,2.24,2.13,2.2,91912.0
2024-05-17,2.26,2.26,2.01,2.13,89825.0
2024-05-20,2.18,2.18,2.02,2.13,53604.0
2024-05-21,2.11,2.2,2.1,2.18,44064.0
