date,open,high,low,close,volume
2020-10-28,1.0,1.0,1.0,1.0,0.0
2020-10-29,1.05,1.38,1.05,1.38,13950.0
2020-10-30,1.45,1.45,1.45,1.45,6600.0
2020-11-02,1.45,1.45,1.37,1.37,8100.0
2020-11-03,1.37,1.37,1.37,1.37,0.0
2020-11-04,1.4,1.45,1.4,1.4001,4200.0
2020-11-05,1.4,1.4498,1.4,1.4498,650.0
2020-11-06,1.45,1.45,1.45,1.45,7000.0
2020-11-09,1.45,1.45,1.4,1.4,430.0
2020-11-10,1.4,1.4,1.38,1.38,1081.0
2020-11-11,1.45,1.45,1.4,1.4,1522.0
2020-11-12,1.39,1.39,1.39,1.39,176.0
2020-11-13,1.45,1.45,1.4,1.45,6020.0
2020-11-16,1.46,1.46,1.45,1.45,3550.0
2020-11-17,1.43,1.45,1.42,1.45,14672.0
2020-11-18,1.66,1.66,1.6,1.6,519.0
2020-11-19,1.6,1.62,1.6,1.62,419.0
2020-11-20,1.65,1.71,1.55,1.63,896.0
2020-11-23,1.75,1.75,1.725,1.725,1169.0
2020-11-24,1.725,1.725,1.725,1.725,800.0
2020-11-25,1.85,2.64,1.85,2.4,3830.0
2020-11-27,2.3,2.38,2.23,2.38,10178.0
2020-11-30,2.32,2.3899,2.1866,2.2,14409.0
2020-12-01,2.35,2.35,2.2,2.2,12349.0
2020-12-02,2.17,2.17,2.15,2.15,2180.0
2020-12-03,2.1,2.1,2.1,2.1,1064.0
2020-12-04,2.23,2.23,2.03,2.0366,7084.0
2020-12-07,2.06,2.0601,1.9778,2.0,6268.0
2020-12-08,2.1,2.205,2.0896,2.1,6593.0
2020-12-09,2.01,2.02,1.9866,1.9902,6409.0
2020-12-10,2.05,2.07,2.05,2.07,16548.0
2020-12-11,2.2,2.23,2.0,2.04,40484.0
2020-12-14,2.05,2.06,2.05,2.06,4925.0
2020-12-15,2.06,2.15,2.06,2.12,1299.0
2020-12-16,2.15,2.45,2.15,2.2,11976.0
2020-12-17,2.5,2.5924,2.5,2.5,1187.0
2020-12-18,2.31,2.42,2.21,2.39,11001.0
2020-12-21,2.417,2.65,2.417,2.65,2717.0
2020-12-22,2.69,3.73,2.55,3.2999,61711.0
2020-12-23,4.0,4.1611,3.5,3.89,133902.0
2020-12-24,4.0,4.36,3.9,3.9,45746.0
2020-12-28,4.0,4.94,4.0,4.1,46323.0
2020-12-29,4.11,4.11,3.51,3.8,42463.0
2020-12-30,3.55,4.4898,3.55,4.33,52111.0
2020-12-31,3.85,4.15,3.5101,3.6,26219.0
2021-01-04,3.85,3.9,3.5,3.5,21395.0
2021-01-05,3.6,3.6,3.25,3.36,40000.0
2021-01-06,3.55,3.64,3.2401,3.39,19325.0
