date,open,high,low,close,volume
2023-11-30,10.1,10.1,10.08,10.08,424786.0
2023-12-01,10.08,10.09,10.08,10.08,127892.0
2023-12-04,10.08,10.09,10.07,10.08,249374.0
2023-12-05,10.08,10.09,10.07,10.08,368089.0
2023-12-06,10.08,10.08,10.07,10.08,79922.0
2023-12-07,10.09,10.1,10.08,10.08,282124.0
2023-12-08,10.09,10.09,10.09,10.09,50000.0
2023-12-11,10.09,10.1,10.08,10.08,578005.0
2023-12-12,10.09,10.1,10.085,10.0942,377806.0
2023-12-13,10.09,10.1,10.09,10.1,1568.0
2023-12-14,10.1,10.1,10.09,10.1,101457.0
2023-12-15,10.1,10.1,10.09,10.09,166412.0
2023-12-18,10.09,10.09,10.09,10.09,10.0
2023-12-19,10.1,10.1,10.09,10.1,282733.0
2023-12-20,10.1,10.1,10.1,10.1,0.0
2023-12-21,10.1,10.1,10.1,10.1,0.0
2023-12-22,10.085,10.09,10.08,10.09,11306.0
2023-12-26,10.09,10.09,10.09,10.09,0.0
2023-12-27,10.09,10.09,10.09,10.09,75.0
2023-12-28,10.09,10.09,10.09,10.09,45.0
2023-12-29,10.109,10.11,10.109,10.11,3003.0
2024-01-02,10.09,10.11,10.09,10.11,13920.0
2024-01-03,10.12,10.12,10.12,10.12,612.0
2024-01-04,10.13,10.1395,10.13,10.1395,35298.0
2024-01-05,10.14,10.14,10.14,10.14,100.0
2024-01-08,10.1092,10.15,10.1092,10.13,43720.0
2024-01-09,10.1101,10.1101,10.1101,10.1101,2285.0
2024-01-10,10.14,10.14,10.14,10.14,187.0
2024-01-11,10.14,10.14,10.13,10.13,2723.0
2024-01-12,10.13,10.13,10.13,10.13,0.0
2024-01-16,10.14,10.14,10.14,10.14,500.0
2024-01-17,10.14,10.14,10.14,10.14,0.0
2024-01-18,10.14,10.14,10.14,10.14,29301.0
2024-01-19,10.1403,10.1403,10.14,10.14,321.0
2024-01-22,10.15,10.19,10.14,10.14,30839.0
2024-01-23,10.14,10.14,10.14,10.14,45.0
2024-01-24,10.14,10.14,10.14,10.14,0.0
2024-01-25,10.22,10.22,10.22,10.22,231.0
2024-01-26,10.22,10.22,10.22,10.22,500.0
2024-01-29,10.1682,10.21,10.15,10.2,97054.0
2024-01-30,10.22,10.22,10.2109,10.2109,8509.0
2024-01-31,10.1901,10.34,10.18,10.18,19091.0
2024-02-01,10.2,10.25,10.19,10.25,17795.0
2024-02-02,10.25,10.25,10.25,10.25,55.0
2024-02-05,10.2,10.21,10.2,10.2,30204.0
2024-02-06,10.2,10.2,10.2,10.2,3720.0
2024-02-07,10.2031,10.2074,10.2,10.2,35189.0
2024-02-08,10.2,10.2,10.2,10.2,21739.0
2024-02-09,10.2,10.2001,10.2,10.2,17811.0
2024-02-12,10.2,10.2,10.2,10.2,2.0
2024-02-13,10.2,10.2,10.2,10.2,20.0
2024-02-14,10.2,10.2,10.2,10.2,23.0
2024-02-15,10.18,10.18,10.18,10.18,16600.0
2024-02-16,10.21,10.25,10.165,10.165,3033.0
2024-02-20,10.165,10.165,10.165,10.165,3.0
2024-02-21,10.18,10.18,10.18,10.18,1762.0
2024-02-22,10.18,10.18,10.18,10.18,0.0
2024-02-23,10.18,10.18,10.18,10.18,126.0
2024-02-26,10.18,10.18,10.18,10.18,2930.0
2024-02-27,10.18,10.19,10.18,10.18,226375.0
2024-02-28,10.2201,10.255,10.18,10.18,15834.0
2024-02-29,10.18,10.18,10.18,10.18,90.0
2024-03-01,10.18,10.18,10.18,10.18,133.0
2024-03-04,10.18,10.2,10.18,10.18,66708.0
2024-03-05,10.18,10.185,10.18,10.185,15464.0
2024-03-06,10.185,10.185,10.185,10.185,100.0
2024-03-07,10.185,10.185,10.185,10.185,3.0
2024-03-08,10.185,10.185,10.185,10.185,14.0
2024-03-11,10.185,10.185,10.185,10.185,3.0
2024-03-12,10.18,10.18,10.18,10.18,3790.0
2024-03-13,10.18,10.18,10.18,10.18,108.0
2024-03-14,10.19,10.19,10.18,10.18,7120.0
2024-03-15,10.18,10.18,10.18,10.18,0.0
2024-03-18,10.18,10.18,10.18,10.18,10.0
2024-03-19,10.17,10.1767,10.17,10.1767,7598.0
2024-03-20,10.17,10.17,10.17,10.17,2100.0
2024-03-21,10.17,10.17,10.17,10.17,23112.0
2024-03-22,10.17,10.17,10.17,10.17,1.0
