date,open,high,low,close,volume
2025-09-19,13.5,16.0,12.76,15.63,16625469.0
2025-09-22,15.13,15.25,13.86,14.0,3738697.0
2025-09-23,14.16,14.26,13.315,14.01,3248506.0
2025-09-24,13.75,14.0866,13.15,13.46,1847876.0
2025-09-25,13.35,13.36,12.0,12.83,5518269.0
2025-09-26,12.75,14.0,12.61,13.96,1911576.0
2025-09-29,13.96,14.16,13.55,13.9,1368271.0
2025-09-30,13.75,14.01,13.55,13.7,1283241.0
2025-10-01,13.57,14.23,13.5,13.96,1070819.0
2025-10-02,14.0,14.75,13.6,14.39,1806138.0
2025-10-03,14.22,14.325,13.8,14.24,822290.0
2025-10-06,14.1,14.8025,13.9,14.53,550537.0
2025-10-07,14.53,14.6,13.8,13.95,565497.0
2025-10-08,14.17,14.17,13.75,14.01,418386.0
2025-10-09,13.99,14.0711,13.62,14.02,456988.0
2025-10-10,14.04,14.17,13.31,13.32,558397.0
2025-10-13,13.48,14.11,13.4294,13.97,446834.0
2025-10-14,13.7,14.6,13.7,14.01,1040945.0
2025-10-15,14.42,14.5,13.78,14.0,677755.0
2025-10-16,14.05,14.0852,13.36,13.81,622654.0
2025-10-17,13.64,13.9,13.25,13.37,841191.0
2025-10-20,13.5,13.8,13.41,13.68,437204.0
2025-10-21,13.7,14.1,13.41,13.72,456268.0
2025-10-22,13.7,14.2,13.58,13.99,532290.0
2025-10-23,14.0,16.55,13.99,16.42,2258753.0
2025-10-24,16.59,18.1934,16.565,18.07,1919228.0
2025-10-27,18.4,18.95,16.812,17.26,1428166.0
2025-10-28,17.0,17.8,16.73,16.86,951256.0
2025-10-29,16.8,18.2293,16.7872,16.91,665847.0
2025-10-30,16.8,17.3137,16.49,16.52,445474.0
2025-10-31,16.59,17.84,16.525,17.63,519039.0
2025-11-03,17.54,17.89,16.75,17.26,504234.0
2025-11-04,16.76,17.57,16.4,16.81,490833.0
2025-11-05,16.79,18.2069,16.4,18.04,913879.0
2025-11-06,18.38,20.1,17.6701,18.19,1317800.0
2025-11-07,17.75,18.0,15.8101,17.09,1033250.0
2025-11-10,17.25,17.86,16.3,17.7,526552.0
2025-11-11,17.5,18.59,17.14,18.4,483647.0
2025-11-12,18.4,18.4,17.54,18.19,333980.0
2025-11-13,17.96,18.19,17.3236,17.76,616130.0
2025-11-14,17.2,17.87,17.0,17.46,695921.0
2025-11-17,17.03,17.62,15.5,15.7,1130097.0
2025-11-18,15.5,16.57,15.3,16.0,750708.0
2025-11-19,16.01,16.43,14.825,14.99,922148.0
2025-11-20,15.14,15.74,14.98,15.3,363369.0
2025-11-21,15.24,15.45,14.05,14.98,416692.0
2025-11-24,15.0,15.19,14.26,14.39,486548.0
2025-11-25,14.5,15.01,14.4,14.78,515810.0
2025-11-26,14.94,15.2997,14.56,14.72,349400.0
2025-11-28,14.75,14.97,14.13,14.54,303400.0
