date,open,high,low,close,volume
2025-05-13,12.8,12.8,12.8,12.8,0.0
2025-05-14,15.01,27.72,15.01,16.38,5622697.0
2025-05-15,18.29,18.43,10.75,11.84,1583731.0
2025-05-16,11.9,13.91,11.03,12.02,604840.0
2025-05-19,12.0,14.2665,11.957,13.32,316653.0
2025-05-20,13.4,13.8,12.5013,12.9,230979.0
2025-05-21,12.7,13.27,12.13,12.72,174020.0
2025-05-22,12.65,13.2526,12.41,12.49,171445.0
2025-05-23,12.54,12.54,11.5,11.72,185402.0
2025-05-27,11.67,12.15,11.01,11.2,196460.0
2025-05-28,11.03,11.4498,10.19,11.06,179701.0
2025-05-29,11.0862,11.4263,10.59,11.11,123808.0
2025-05-30,11.2,12.74,10.9,12.69,100695.0
2025-06-02,12.52,13.954,12.52,12.65,140884.0
2025-06-03,12.65,14.29,12.2501,13.88,121206.0
2025-06-04,13.95,15.65,13.1,13.1,479500.0
2025-06-05,13.45,13.8599,11.5001,11.91,267832.0
2025-06-06,12.34,12.77,12.12,12.77,48034.0
2025-06-09,13.18,13.19,11.82,12.48,56813.0
2025-06-10,13.08,13.08,11.56,12.03,51779.0
2025-06-11,12.0612,12.44,11.8,11.93,32695.0
2025-06-12,11.9,12.45,11.87,12.4,34633.0
2025-06-13,12.08,12.4376,11.89,12.2,48760.0
2025-06-16,12.67,13.16,12.5,12.79,221844.0
2025-06-17,13.1,13.7,12.145,12.19,128828.0
2025-06-18,12.96,12.99,11.3,11.46,195007.0
2025-06-20,11.5,11.525,10.9,11.36,168950.0
2025-06-23,11.1,11.27,10.8,10.83,68955.0
2025-06-24,10.85,11.87,10.8306,11.87,110654.0
2025-06-25,11.87,11.87,10.925,10.95,39397.0
2025-06-26,10.97,11.88,10.97,11.41,46433.0
2025-06-27,11.41,11.77,10.94,11.0,48515.0
2025-06-30,11.03,11.71,11.03,11.53,55683.0
2025-07-01,11.4212,11.54,11.22,11.27,21143.0
2025-07-02,11.33,11.89,11.2501,11.5,28148.0
2025-07-03,11.69,11.87,11.5227,11.67,29844.0
2025-07-07,11.63,11.97,11.6,11.6,30773.0
2025-07-08,11.55,11.73,11.202,11.68,17027.0
2025-07-09,11.66,11.66,11.35,11.55,16920.0
2025-07-10,11.31,11.685,11.3,11.3,20738.0
2025-07-11,11.67,11.81,11.32,11.59,74802.0
2025-07-14,11.65,11.78,11.37,11.57,33550.0
2025-07-15,11.57,11.57,11.26,11.26,15591.0
2025-07-16,11.27,11.475,11.11,11.2,27646.0
2025-07-17,11.55,11.55,11.102,11.48,12146.0
2025-07-18,11.48,11.9026,11.4,11.8,46565.0
2025-07-21,11.82,12.5,11.6247,11.68,63309.0
2025-07-22,11.8,12.09,11.3709,11.7,26413.0
2025-07-23,12.01,13.27,11.9183,13.18,135243.0
2025-07-24,13.18,13.2,11.87,12.05,60704.0
2025-07-25,12.1,12.4999,11.75,12.45,18223.0
2025-07-28,12.43,12.43,11.79,11.79,13491.0
2025-07-29,11.76,12.0,11.76,11.9,12811.0
2025-07-30,11.98,12.4205,11.68,12.21,22660.0
2025-07-31,11.92,12.09,11.5,11.75,23476.0
2025-08-01,11.5,12.4794,11.5,11.67,73486.0
2025-08-04,11.65,12.24,11.65,12.24,25680.0
2025-08-05,12.2,12.32,11.72,12.11,29552.0
2025-08-06,11.5061,12.3899,11.5061,12.29,29647.0
2025-08-07,12.1,12.3412,12.1,12.11,4515.0
2025-08-08,12.11,12.25,11.91,12.22,15236.0
2025-08-11,12.22,13.19,12.11,12.75,54471.0
2025-08-12,12.6,12.625,12.02,12.4,42146.0
2025-08-13,12.99,12.99,12.0001,12.695,62537.0
2025-08-14,12.41,12.485,11.715,12.01,20671.0
2025-08-15,11.97,12.5474,11.68,11.985,19653.0
2025-08-18,11.99,12.37,11.85,11.87,7294.0
2025-08-19,12.06,12.085,11.5,11.5023,26076.0
2025-08-20,11.53,11.53,11.21,11.45,28892.0
2025-08-21,11.19,12.4,11.1801,12.02,36134.0
2025-08-22,11.96,13.0,11.96,12.61,40624.0
2025-08-25,12.39,12.71,12.39,12.62,9257.0
2025-08-26,12.425,13.45,12.425,13.45,28444.0
2025-08-27,13.33,13.33,12.84,13.08,10872.0
2025-08-28,13.16,13.2111,12.94,13.05,8899.0
2025-08-29,13.03,13.19,12.8601,13.19,13770.0
2025-09-02,13.2,13.46,12.97,13.46,40459.0
2025-09-03,12.99,13.35,12.9501,13.25,28355.0
2025-09-04,13.23,13.25,13.12,13.13,10276.0
2025-09-05,13.33,13.33,12.29,12.445,28538.0
2025-09-08,12.8,12.965,12.64,12.81,17889.0
2025-09-09,12.62,12.8,11.76,11.98,26635.0
2025-09-10,12.25,12.37,12.06,12.29,22625.0
2025-09-11,12.25,12.445,11.84,11.98,13822.0
2025-09-12,12.13,12.13,11.89,11.91,6909.0
2025-09-15,11.909,11.909,11.73,11.86,7680.0
2025-09-16,11.785,11.8,11.635,11.635,3349.0
2025-09-17,11.55,11.835,11.55,11.8,6158.0
2025-09-18,12.1,12.1,11.78,11.8,13004.0
2025-09-19,11.86,12.0325,11.7,11.71,6628.0
2025-09-22,11.75,12.17,11.75,11.824,7967.0
2025-09-23,11.85,11.92,11.7,11.714,11544.0
2025-09-24,11.77,12.04,11.63,11.98,27577.0
2025-09-25,12.0,12.13,11.85,11.88,12355.0
2025-09-26,11.965,12.05,11.9,11.93,10010.0
2025-09-29,11.95,12.535,11.8,12.4,36829.0
2025-09-30,12.31,12.76,12.2,12.2,37493.0
2025-10-01,12.04,12.16,11.8,11.8,26773.0
2025-10-02,11.84,12.1178,11.82,12.0,8302.0
2025-10-03,12.099,12.8,11.94,12.69,43759.0
2025-10-06,13.82,13.82,13.29,13.55,64573.0
2025-10-07,13.8,13.8,12.47,12.47,53181.0
2025-10-08,12.51,12.99,12.51,12.73,15727.0
2025-10-09,12.61,12.61,12.42,12.42,6389.0
2025-10-10,13.075,13.075,12.115,12.29,67696.0
2025-10-13,12.41,12.41,11.79,11.87,43930.0
2025-10-14,12.615,12.615,11.7601,12.13,20239.0
2025-10-15,11.94,12.1099,11.76,11.81,17534.0
2025-10-16,11.99,11.99,11.43,11.44,28238.0
2025-10-17,11.62,12.0003,11.53,11.81,7476.0
2025-10-20,11.99,12.028,11.8,11.88,10677.0
2025-10-21,11.71,11.71,11.23,11.65,13562.0
2025-10-22,11.55,11.595,11.04,11.235,15250.0
2025-10-23,11.585,11.585,11.33,11.33,4617.0
2025-10-24,11.25,11.6,11.25,11.59,8926.0
2025-10-27,11.6,11.6272,11.24,11.37,6625.0
2025-10-28,11.3,11.8,11.2875,11.8,6163.0
2025-10-29,11.8,12.44,11.6,11.87,8126.0
2025-10-30,11.76,12.0,10.88,11.5,16625.0
2025-10-31,11.205,11.41,11.01,11.28,3516.0
