date,open,high,low,close,volume
2021-07-23,10.79,11.25,9.7348,10.21,765285.0
2021-07-26,11.61,11.66,9.95,10.0,1243369.0
2021-07-27,10.41,10.41,9.85,9.97,752505.0
2021-07-28,10.0,10.0,8.91,9.2,428011.0
2021-07-29,9.95,9.95,8.3,8.35,415424.0
2021-07-30,8.28,8.28,7.81,8.05,384605.0
2021-08-02,8.3,8.94,8.19,8.84,462882.0
2021-08-03,9.3,10.035,9.1001,10.01,712610.0
2021-08-04,10.15,10.48,9.96,10.35,523040.0
2021-08-05,10.51,10.51,10.0,10.39,323923.0
2021-08-06,10.39,10.799,10.27,10.75,318286.0
2021-08-09,10.92,10.92,10.2165,10.82,304143.0
2021-08-10,10.88,10.89,10.3501,10.74,158733.0
2021-08-11,10.77,10.8161,10.4,10.72,172190.0
2021-08-12,10.53,10.92,10.21,10.81,303173.0
2021-08-13,10.81,10.91,10.25,10.295,93366.0
2021-08-16,10.12,10.59,9.8,9.83,101204.0
2021-08-17,9.8,10.02,9.2,9.54,176616.0
2021-08-18,9.9,10.15,9.85,9.96,220647.0
2021-08-19,9.79,9.96,9.08,9.16,145093.0
2021-08-20,9.36,9.77,9.25,9.63,461319.0
2021-08-23,9.46,9.5699,8.83,9.07,329841.0
2021-08-24,9.0946,9.2,8.53,8.76,245634.0
2021-08-25,8.7,8.94,8.06,8.7,610203.0
2021-08-26,8.7,8.7,8.1362,8.26,212535.0
2021-08-27,8.2,8.7,8.2,8.63,244430.0
2021-08-30,8.54,9.1,8.3501,9.05,211098.0
2021-08-31,8.7,8.7,5.82,6.0,10839495.0
2021-09-01,6.16,6.189,5.66,5.74,4777242.0
2021-09-02,5.85,5.88,5.48,5.49,4423621.0
2021-09-03,5.65,5.9,5.52,5.77,3787726.0
2021-09-07,5.851,6.15,5.78,6.03,3659812.0
2021-09-08,6.1855,6.2,5.8,5.95,2196505.0
2021-09-09,6.04,6.58,5.96,6.29,3655416.0
2021-09-10,6.44,6.4624,5.87,5.89,2326215.0
2021-09-13,5.93,6.045,5.6,6.04,1757295.0
2021-09-14,5.66,5.86,5.43,5.52,2265505.0
2021-09-15,5.62,5.63,5.23,5.49,1302749.0
2021-09-16,5.45,5.59,5.37,5.51,722784.0
2021-09-17,5.52,5.87,5.39,5.52,1725280.0
2021-09-20,5.3649,5.5,5.2674,5.35,862949.0
2021-09-21,5.43,5.53,5.3,5.39,1035881.0
2021-09-22,5.4,5.68,5.4,5.49,1121401.0
2021-09-23,5.6,5.62,5.27,5.32,1607798.0
2021-09-24,5.34,5.42,5.28,5.29,852380.0
2021-09-27,5.35,5.45,5.26,5.39,559942.0
2021-09-28,5.3432,5.3852,5.04,5.09,1008281.0
2021-09-29,5.1,5.32,4.85,4.94,1695835.0
2021-09-30,4.99,5.0199,4.45,4.54,1895774.0
2021-10-01,4.61,4.69,4.44,4.68,798054.0
2021-10-04,4.7,4.77,4.36,4.39,709752.0
2021-10-05,4.44,4.45,3.93,4.01,1726765.0
2021-10-06,3.99,4.0,3.8,3.99,1026303.0
2021-10-07,4.05,4.29,4.0293,4.2,777382.0
2021-10-08,4.17,4.21,3.98,4.0,400560.0
2021-10-11,4.02,4.15,3.94,4.04,406449.0
2021-10-12,4.07,4.27,4.0584,4.27,432169.0
2021-10-13,4.2035,4.3,4.16,4.19,261786.0
2021-10-14,4.25,4.26,4.11,4.19,366871.0
2021-10-15,4.16,4.26,4.03,4.03,438427.0
2021-10-18,4.11,4.22,4.08,4.21,424761.0
2021-10-19,4.23,4.25,4.1,4.12,571242.0
2021-10-20,4.16,4.2,4.02,4.04,570290.0
2021-10-21,4.0502,4.14,3.97,3.98,729496.0
2021-10-22,3.98,4.0105,3.8,3.88,761045.0
2021-10-25,3.85,4.06,3.84,4.05,747451.0
2021-10-26,4.11,4.24,4.02,4.11,682319.0
2021-10-27,4.12,4.18,4.03,4.05,417181.0
2021-10-28,4.02,4.3,4.0,4.17,1031859.0
2021-10-29,4.17,4.21,4.01,4.08,527744.0
2021-11-01,4.1,4.185,4.05,4.1,622626.0
2021-11-02,4.102,4.13,4.0,4.04,500558.0
2021-11-03,4.1,4.11,3.96,4.03,628894.0
2021-11-04,4.03,4.05,3.9,3.92,725908.0
2021-11-05,4.0,4.145,3.91,4.14,1360454.0
2021-11-08,4.07,4.27,4.07,4.19,860704.0
2021-11-09,4.22,4.2523,3.94,4.01,807907.0
2021-11-10,4.0,4.01,3.77,3.83,1124837.0
2021-11-11,3.87,4.05,3.85,3.95,763155.0
2021-11-12,3.98,3.98,3.7783,3.87,1247044.0
2021-11-15,3.8935,4.43,3.83,4.19,5918187.0
2021-11-16,4.19,4.2175,3.81,3.9,2984232.0
2021-11-17,3.97,4.0,3.7,3.79,2844921.0
2021-11-18,3.41,3.71,3.3988,3.56,2853698.0
2021-11-19,3.5,3.8,3.45,3.76,1694219.0
2021-11-22,3.85,3.85,3.68,3.74,1100660.0
2021-11-23,3.76,3.825,3.66,3.72,1360353.0
2021-11-24,3.66,3.96,3.655,3.95,827319.0
2021-11-26,3.8,4.32,3.77,4.32,1110955.0
2021-11-29,4.35,4.65,4.23,4.25,1814329.0
2021-11-30,4.29,4.54,4.04,4.14,1217315.0
2021-12-01,4.2,4.27,4.05,4.22,958959.0
2021-12-02,4.19,4.285,4.12,4.21,598294.0
2021-12-03,4.092,4.17,3.93,4.01,1050652.0
2021-12-06,3.89,4.01,3.56,3.99,1310306.0
2021-12-07,4.05,4.14,3.99,4.06,479015.0
2021-12-08,3.9835,4.39,3.94,4.29,1265615.0
2021-12-09,4.4511,4.4511,4.05,4.1,546074.0
2021-12-10,4.09,4.26,4.0199,4.17,643711.0
2021-12-13,4.11,4.24,4.01,4.2,1140098.0
2021-12-14,4.13,4.24,4.08,4.11,1265813.0
2021-12-15,4.06,4.12,3.78,4.1,2310447.0
2021-12-16,4.12,4.19,4.01,4.18,1099752.0
2021-12-17,4.11,4.21,4.01,4.09,638864.0
2021-12-20,4.0,4.08,3.93,4.04,593236.0
2021-12-21,4.02,4.06,3.9,4.06,530141.0
2021-12-22,4.02,4.05,3.89,3.98,854332.0
2021-12-23,4.09,5.3723,4.06,5.04,6698602.0
2021-12-27,4.91,5.505,4.88,5.18,2310812.0
2021-12-28,5.18,5.6196,5.145,5.55,1737475.0
2021-12-29,5.52,5.7812,5.0,5.0,1594871.0
2021-12-30,5.0,5.225,4.945,5.03,7525976.0
2021-12-31,5.01,5.55,5.01,5.55,959621.0
2022-01-03,5.57,5.96,5.56,5.58,1184126.0
2022-01-04,5.6,6.78,5.59,6.73,3271346.0
2022-01-05,6.71,7.49,6.18,6.42,3884686.0
2022-01-06,6.5,6.72,5.22,5.84,2109883.0
2022-01-07,5.93,6.04,5.5101,5.63,891243.0
2022-01-10,5.64,5.65,5.04,5.13,976738.0
2022-01-11,5.16,5.57,5.15,5.34,789499.0
2022-01-12,5.59,5.68,5.29,5.37,512278.0
2022-01-13,5.35,5.4172,5.2,5.31,408586.0
2022-01-14,5.2,5.28,4.75,5.25,1229926.0
2022-01-18,5.05,5.1,4.83,4.83,839296.0
2022-01-19,4.8,4.8,4.19,4.22,1713187.0
2022-01-20,4.2,4.53,4.12,4.46,2278575.0
2022-01-21,4.2535,4.57,4.25,4.4,1701980.0
2022-01-24,4.1,4.4,4.02,4.33,1688721.0
2022-01-25,4.37,4.38,4.22,4.24,898368.0
2022-01-26,4.2,4.44,4.185,4.23,1504827.0
2022-01-27,4.1735,4.21,3.89,3.95,1136525.0
2022-01-28,3.91,4.05,3.91,4.0,506145.0
2022-01-31,4.0,4.15,3.9802,4.15,1446002.0
2022-02-01,4.15,4.26,4.07,4.2,1102259.0
2022-02-02,4.26,4.3999,3.8,3.82,1032505.0
2022-02-03,3.79,3.87,3.68,3.72,620653.0
2022-02-04,3.71,3.76,3.62,3.7,518056.0
2022-02-07,3.77,3.82,3.52,3.6,714306.0
2022-02-08,3.55,3.71,3.5,3.61,719687.0
2022-02-09,3.68,3.7,3.53,3.62,924637.0
2022-02-10,3.59,3.68,3.51,3.53,984249.0
2022-02-11,3.57,3.5742,3.23,3.29,1104572.0
2022-02-14,3.29,3.41,3.24,3.31,570794.0
2022-02-15,3.3,3.47,3.27,3.47,1019419.0
2022-02-16,3.45,3.4603,3.34,3.37,332377.0
2022-02-17,3.4,3.4,3.17,3.19,756671.0
2022-02-18,3.16,3.16,2.91,2.97,1818640.0
2022-02-22,2.95,2.95,2.67,2.69,1051368.0
2022-02-23,2.8,2.91,2.58,2.61,700936.0
2022-02-24,2.36,2.65,2.34,2.63,1333003.0
2022-02-25,2.67,2.7111,2.54,2.65,446370.0
2022-02-28,2.78,2.78,2.55,2.61,1009366.0
2022-03-01,2.65,2.661,2.47,2.49,510328.0
2022-03-02,2.59,2.59,2.42,2.49,742509.0
2022-03-03,2.69,2.69,2.24,2.32,1248876.0
2022-03-04,2.34,2.48,2.25,2.28,1284587.0
2022-03-07,2.25,2.27,2.05,2.21,1815616.0
2022-03-08,2.18,2.27,2.13,2.21,1646260.0
