date,open,high,low,close,volume
2025-06-13,12.9,39.07,12.9,24.0,14713420.0
2025-06-16,34.98,37.925,28.6,31.0,11880751.0
2025-06-17,32.22,32.97,28.2701,29.76,4026881.0
2025-06-18,29.0,29.4939,26.0001,26.26,2770878.0
2025-06-20,25.12,25.5,20.4,22.24,3072900.0
2025-06-23,21.4,28.55,20.28,26.9,4818869.0
2025-06-24,26.76,27.15,23.5001,24.27,2256018.0
2025-06-25,24.91,25.7299,21.61,21.9,2425871.0
2025-06-26,22.51,26.5,22.51,25.26,2398100.0
2025-06-27,25.0,27.5232,22.8,23.33,1644396.0
2025-06-30,24.02,25.48,22.5308,24.07,1213751.0
2025-07-01,23.8,23.8301,22.098,22.245,1783594.0
2025-07-02,22.425,22.425,20.82,21.62,983652.0
2025-07-03,22.5,22.5693,20.9,21.9,788732.0
2025-07-07,22.5,22.8253,20.6,21.29,677769.0
2025-07-08,21.29,21.9436,20.85,21.67,581424.0
2025-07-09,21.64,22.194,20.81,21.48,763673.0
2025-07-10,21.43,22.97,20.87,22.2,1268507.0
2025-07-11,24.465,29.2,24.18,28.8,4332203.0
2025-07-14,28.82,28.9,25.8106,28.28,1941689.0
2025-07-15,28.0,28.7,25.84,27.46,1618648.0
2025-07-16,27.1,27.16,24.7504,26.05,1964074.0
2025-07-17,25.9,27.4,25.26,26.29,1310037.0
2025-07-18,26.27,27.31,24.26,24.97,1388259.0
2025-07-21,24.95,25.36,22.39,22.89,1587223.0
2025-07-22,23.26,24.0,22.25,23.84,662731.0
2025-07-23,24.01,24.01,22.82,23.1,690849.0
2025-07-24,23.11,23.91,22.8,23.47,573746.0
2025-07-25,23.65,24.35,22.8,22.92,580451.0
2025-07-28,23.0,23.01,21.77,21.86,643055.0
2025-07-29,21.77,21.95,20.775,20.97,558946.0
2025-07-30,21.0,21.61,20.28,21.12,415985.0
2025-07-31,21.0,21.49,20.71,21.22,573149.0
2025-08-01,20.59,20.59,19.14,20.12,713690.0
2025-08-04,20.2,22.96,20.03,22.82,895353.0
2025-08-05,22.8,22.8,21.6632,21.94,516985.0
2025-08-06,21.88,21.95,19.9,20.64,516064.0
2025-08-07,20.98,21.24,20.07,20.76,369266.0
2025-08-08,20.83,21.43,20.0,20.49,440509.0
2025-08-11,20.49,20.74,19.85,20.4,492386.0
2025-08-12,20.41,21.22,20.34,20.92,357990.0
2025-08-13,20.89,21.77,20.45,21.74,572641.0
2025-08-14,24.0,24.0,21.3426,22.94,2130802.0
2025-08-15,23.19,23.5,21.5,22.11,881811.0
2025-08-18,22.19,24.2134,22.04,24.07,1050524.0
2025-08-19,23.97,24.2254,21.94,22.92,999423.0
2025-08-20,22.41,22.74,20.88,22.04,666582.0
2025-08-21,21.94,24.14,21.51,23.29,984304.0
2025-08-22,22.94,24.9599,22.25,24.44,1162456.0
2025-08-25,24.1,24.58,23.16,23.235,511689.0
2025-08-26,23.3,24.39,22.85,23.53,503877.0
2025-08-27,23.65,24.24,23.4814,24.09,482146.0
2025-08-28,23.99,25.9,23.94,25.79,1589791.0
2025-08-29,25.72,25.9,23.52,23.55,1025816.0
2025-09-02,22.39,22.5,19.8504,20.55,2327886.0
2025-09-03,21.75,21.75,19.9,20.42,1053229.0
2025-09-04,20.35,20.82,19.98,20.8,639032.0
2025-09-05,21.08,21.27,20.4498,20.94,514302.0
2025-09-08,21.0,21.45,20.414,20.5,764769.0
2025-09-09,18.2,19.36,18.12,19.15,1797149.0
2025-09-10,19.55,20.57,18.85,19.42,1150892.0
2025-09-11,20.0,20.3,18.985,19.86,3133035.0
2025-09-12,20.0,20.49,19.6411,20.14,868870.0
2025-09-15,20.0,20.35,19.625,20.2,713151.0
2025-09-16,20.28,20.3,19.72,19.83,446338.0
2025-09-17,19.5,19.87,18.98,19.11,1090576.0
2025-09-18,19.35,20.16,19.34,19.89,594867.0
2025-09-19,20.07,20.41,19.48,19.53,1910095.0
2025-09-22,19.53,20.37,19.29,20.15,1001391.0
2025-09-23,20.25,20.3929,19.62,19.66,998774.0
2025-09-24,20.0,20.85,19.27,19.33,1491840.0
2025-09-25,18.88,19.39,18.54,18.9,952708.0
2025-09-26,18.94,19.18,18.52,19.08,718782.0
2025-09-29,19.45,19.8,19.01,19.02,861396.0
2025-09-30,18.91,19.26,18.51,19.2,731550.0
2025-10-01,18.93,19.855,18.7799,19.53,971024.0
2025-10-02,19.52,20.0,19.41,19.78,773927.0
2025-10-03,19.98,20.88,19.099,19.41,1667947.0
2025-10-06,19.87,20.18,19.6,19.67,632993.0
2025-10-07,19.7,20.1483,19.262,19.985,656185.0
2025-10-08,19.85,20.11,19.6,19.83,468526.0
2025-10-09,19.8,19.92,18.93,19.08,1010926.0
2025-10-10,18.91,19.44,18.1129,18.15,1099511.0
2025-10-13,18.68,18.695,18.1501,18.55,613526.0
2025-10-14,18.2,20.1,17.88,20.08,1800892.0
2025-10-15,20.43,20.98,19.0,19.51,859665.0
2025-10-16,21.55,22.47,18.65,18.8,2611487.0
2025-10-17,18.15,18.6899,17.15,17.5,1864469.0
2025-10-20,18.1,18.45,17.8731,18.27,507172.0
2025-10-21,18.24,18.41,17.75,17.98,363038.0
2025-10-22,17.78,17.9075,16.62,17.1,970605.0
2025-10-23,17.185,17.475,16.85,17.25,352078.0
2025-10-24,17.5,17.92,17.4,17.48,330646.0
2025-10-27,17.8,17.83,17.22,17.33,429458.0
2025-10-28,17.1,17.3779,16.82,16.82,503023.0
2025-10-29,16.86,16.96,16.26,16.8,743802.0
2025-10-30,16.51,16.78,16.26,16.35,402409.0
2025-10-31,16.35,16.61,15.8001,16.36,507522.0
2025-11-03,16.3,16.43,15.565,16.28,510843.0
2025-11-04,15.4,15.6999,14.14,14.27,944026.0
2025-11-05,14.28,14.58,13.92,14.195,443850.0
2025-11-06,14.34,14.34,12.96,13.12,743553.0
2025-11-07,12.81,13.61,12.42,13.47,703924.0
2025-11-10,14.0,14.22,13.45,13.8,403800.0
2025-11-11,13.68,13.95,13.39,13.63,327332.0
2025-11-12,13.61,13.9353,13.3,13.37,453598.0
2025-11-13,13.34,13.35,12.64,12.75,734628.0
2025-11-14,10.27,11.2536,9.8801,10.1,1883127.0
2025-11-17,9.945,10.675,9.81,10.33,913372.0
2025-11-18,10.1,10.38,9.68,9.86,924309.0
2025-11-19,9.96,10.01,8.6,8.87,1364917.0
2025-11-20,8.95,9.145,7.8,7.86,1640485.0
2025-11-21,7.91,8.13,7.54,7.99,808303.0
2025-11-24,8.06,8.06,7.61,7.87,774020.0
2025-11-25,7.86,7.98,7.5,7.84,830490.0
2025-11-26,7.94,8.4399,7.76,8.24,794915.0
2025-11-28,8.28,8.7362,8.1,8.65,423381.0
2025-12-01,8.51,8.51,8.08,8.19,420172.0
2025-12-02,8.25,8.5989,8.17,8.28,266731.0
